,BigOneOccurnesPred,Gender,Age
0,No,Male,18 - 29
1,No,Male,18 - 29
2,No,Male,18 - 29
3,No,Male,18 - 29
4,Yes,Male,18 - 29
5,No,Male,18 - 29
6,Yes,Answer not given,Answer not given
7,No,Male,18 - 29
8,No,Male,18 - 29
9,No,Male,18 - 29
10,No,Male,18 - 29
11,No,Male,18 - 29
12,Yes,Answer not given,Answer not given
13,Yes,Male,18 - 29
14,No,Male,18 - 29
15,Yes,Male,18 - 29
16,No,Male,18 - 29
17,Yes,Male,18 - 29
18,Yes,Male,30 - 44
19,Yes,Male,30 - 44
20,No,Male,18 - 29
21,No,Male,30 - 44
22,No,Male,18 - 29
23,Yes,Male,18 - 29
24,Yes,Male,30 - 44
25,No,Male,18 - 29
26,No,Male,30 - 44
27,No,Male,30 - 44
28,No,Male,30 - 44
29,No,Male,18 - 29
30,Yes,Male,18 - 29
31,No,Male,18 - 29
32,Yes,Male,30 - 44
33,Yes,Male,18 - 29
34,Yes,Male,30 - 44
35,No,Male,18 - 29
36,No,Male,18 - 29
37,Yes,Male,18 - 29
38,Yes,Male,18 - 29
39,No,Male,30 - 44
40,Yes,Male,30 - 44
41,No,Male,18 - 29
42,Yes,Male,45 - 59
43,Yes,Male,45 - 59
44,Yes,Male,18 - 29
45,Yes,Male,18 - 29
46,Yes,Male,18 - 29
47,Yes,Male,30 - 44
48,No,Male,18 - 29
49,Yes,Male,30 - 44
50,Yes,Male,45 - 59
51,Yes,Male,45 - 59
52,No,Male,30 - 44
53,No,Male,45 - 59
54,No,Male,30 - 44
55,No,Male,30 - 44
56,No,Male,45 - 59
57,No,Male,30 - 44
58,No,Male,18 - 29
59,Yes,Male,45 - 59
60,No,Male,45 - 59
61,No,Male,18 - 29
62,Yes,Male,18 - 29
63,Yes,Male,45 - 59
64,No,Male,18 - 29
65,No,Male,45 - 59
66,No,Male,30 - 44
67,No,Male,18 - 29
68,Yes,Male,45 - 59
69,Yes,Male,18 - 29
70,No,Male,18 - 29
71,Yes,Male,18 - 29
72,Yes,Male,18 - 29
73,No,Male,18 - 29
74,No,Male,30 - 44
75,Yes,Male,45 - 59
76,No,Male,45 - 59
77,Yes,Male,30 - 44
78,Yes,Male,18 - 29
79,No,Male,18 - 29
80,No,Male,30 - 44
81,Yes,Male,30 - 44
82,Yes,Male,18 - 29
83,Yes,Male,45 - 59
84,Yes,Male,30 - 44
85,Yes,Male,45 - 59
86,Yes,Male,30 - 44
87,Yes,Male,18 - 29
88,Yes,Male,30 - 44
89,No,Male,45 - 59
90,No,Male,18 - 29
91,Yes,Male,30 - 44
92,No,Male,45 - 59
93,No,Male,45 - 59
94,Yes,Male,45 - 59
95,No,Male,18 - 29
96,No,Male,18 - 29
97,No,Male,45 - 59
98,Yes,Male,18 - 29
99,No,Male,30 - 44
100,No,Male,30 - 44
101,No,Male,30 - 44
102,Yes,Male,45 - 59
103,No,Male,18 - 29
104,Yes,Male,30 - 44
105,Yes,Male,45 - 59
106,Yes,Male,45 - 59
107,Yes,Male,30 - 44
108,Yes,Male,30 - 44
109,Yes,Male,30 - 44
110,Yes,Male,45 - 59
111,Yes,Male,30 - 44
112,Yes,Male,45 - 59
113,Yes,Male,45 - 59
114,No,Male,45 - 59
115,No,Male,45 - 59
116,No,Male,18 - 29
117,No,Male,60
118,Yes,Male,30 - 44
119,Yes,Male,18 - 29
120,Yes,Male,30 - 44
121,No,Male,30 - 44
122,Yes,Male,45 - 59
123,Yes,Male,60
124,Yes,Male,60
125,No,Male,30 - 44
126,Yes,Male,18 - 29
127,No,Male,30 - 44
128,No,Male,30 - 44
129,No,Male,30 - 44
130,Yes,Male,18 - 29
131,No,Male,30 - 44
132,No,Male,18 - 29
133,No,Male,60
134,No,Male,60
135,No,Male,18 - 29
136,No,Male,60
137,Yes,Male,30 - 44
138,Yes,Male,60
139,No,Male,60
140,Yes,Male,18 - 29
141,No,Male,60
142,Yes,Male,18 - 29
143,No,Male,45 - 59
144,Yes,Male,30 - 44
145,Yes,Male,30 - 44
146,Yes,Male,60
147,No,Male,45 - 59
148,Yes,Male,60
149,No,Male,45 - 59
150,Yes,Male,45 - 59
151,No,Answer not given,Answer not given
152,Yes,Male,30 - 44
153,No,Male,30 - 44
154,No,Male,60
155,Yes,Male,30 - 44
156,No,Male,60
157,Yes,Male,45 - 59
158,Yes,Male,60
159,No,Male,18 - 29
160,No,Male,30 - 44
161,No,Male,45 - 59
162,No,Answer not given,Answer not given
163,No,Male,45 - 59
164,No,Male,18 - 29
165,Yes,Male,18 - 29
166,No,Male,45 - 59
167,No,Male,18 - 29
168,Yes,Male,45 - 59
169,No,Male,18 - 29
170,Yes,Male,18 - 29
171,Yes,Male,30 - 44
172,No,Male,45 - 59
173,Yes,Male,60
174,No,Male,45 - 59
175,No,Male,30 - 44
176,No,Male,30 - 44
177,No,Male,18 - 29
178,Yes,Male,45 - 59
179,Yes,Male,60
180,No,Male,60
181,No,Male,30 - 44
182,Yes,Male,30 - 44
183,Yes,Male,18 - 29
184,No,Male,30 - 44
185,No,Male,60
186,No,Male,45 - 59
187,Yes,Male,60
188,No,Male,30 - 44
189,No,Male,60
190,No,Male,30 - 44
191,Yes,Male,60
192,Yes,Male,30 - 44
193,No,Male,45 - 59
194,Yes,Female,60
195,Yes,Male,30 - 44
196,Yes,Male,30 - 44
197,Yes,Female,60
198,No,Male,18 - 29
199,Yes,Male,30 - 44
200,No,Female,60
201,Yes,Female,60
202,No,Male,45 - 59
203,Yes,Male,60
204,No,Male,45 - 59
205,Yes,Male,60
206,No,Male,30 - 44
207,No,Male,30 - 44
208,Yes,Male,45 - 59
209,No,Female,60
210,No,Male,30 - 44
211,Yes,Male,45 - 59
212,No,Female,18 - 29
213,No,Female,18 - 29
214,Yes,Female,18 - 29
215,Yes,Male,30 - 44
216,No,Male,30 - 44
217,Yes,Male,45 - 59
218,Yes,Female,60
